Product Name,Price,Rating,Ratings Count,Reviews Count,Features
DELL 15 Intel Core i3 13th Gen 1305U - (16 GB/512 GB SSD/Windows 11 Home) 3530 Thin and Light Laptop,"₹42,990",4.2,599,42,"Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office H&S 2024, My Dell (Dell Power Manager, Dell Support Assist) | 1 Year Onsite Hardware Service"
ASUS Expertbook P3 Metal High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/1 TB SSD/Wi...,"₹71,990",4.3,164,23,"Intel Core i7 Processor (13th Gen) | 32 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 35.56 cm (14 Inch) Display | Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity) | 1 Year Onsite Warranty"
"ASUS Vivobook S16 OLED (2025) with Backlit Keyboard, Metal Body*, Qualcomm Snapdragon X - (16 GB/512 G...","₹65,990",4.5,815,59,"Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 40.64 cm (16 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps | 1 Year Onsite Warranty"
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,"₹49,990",4.4,"2,314",260,Intel Core 5 (Series 2) Processor | 16 GB DDR5 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty
Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/128 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB...,"₹23,990",3.8,"2,681",187,Intel Celeron Dual Core Processor | 8 GB LPDDR4X RAM | Chrome Operating System | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty
Acer Aspire 3 AMD Ryzen 3 Quad Core 7330U - (8 GB/512 GB SSD/Windows 11 Home) AS15 42 / A325 42 Thin a...,"₹34,999",4.1,804,95,AMD Ryzen 3 Quad Core Processor | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹37,990",4.3,"2,371",146,"Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty"
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Qualcomm Snapdragon X - (16 ...","₹52,990",4.4,426,38,"Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps | 1 Year Onsite Warranty"
ASUS Vivobook S14 (2025)(i5 14th Gen) with Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,"₹63,990",4.6,7,0,"Intel Core 5 Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty"
Lenovo 100e Chromebook Gen 4 MediaTek Kompanio 520 - (4 GB/32 GB EMMC Storage/Chrome OS) 82W00004HA Ch...,"₹11,990",4,"2,339",170,MediaTek Kompanio 520 Processor | 4 GB LPDDR4X RAM | Chrome Operating System | 29.46 cm (11.6 Inch) Display | 1 Year Carry-in Warranty
"ASUS Vivobook Go 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, AMD Ryzen 5 Quad Core 752...","₹40,990",4.3,"1,067",53,"AMD Ryzen 5 Quad Core Processor | 16 GB LPDDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year | 1 Year Onsite Warranty"
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) P1503CVA-S70501WS ...,"₹36,990",4.3,"4,481",380,"Intel Core i3 Processor (13th Gen) | 8 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity) | 1 Year Onsite Warranty"
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...","₹51,990",4.3,"1,326",98,"Intel Core 5 Processor | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty"
HP 15s Metal Intel Core i3 13th Gen 1315U - (8 GB/512 GB SSD/Windows 11 Home) 15-hr0005TU Thin and Lig...,"₹41,990",4.3,38,2,Intel Core i3 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home 2024 + MISC PC Game Pass DA 3M | 1 Year Onsite Warranty
ASUS Expertbook P1 Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 Home) P1503CVA-S71074WS...,"₹38,990",4.3,"4,481",380,"Intel Core i3 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity) | 1 Year Onsite Warranty"
ASUS Vivobook Go 14 (2025) with Office 2024 + M365 Basic* AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB S...,"₹31,990",4.2,"3,105",278,"AMD Ryzen 3 Quad Core Processor | 8 GB LPDDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year | 1 Year Onsite Warranty"
ASUS Vivobook Go 15 AMD Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ130WS | ...,"₹30,990",4.3,"1,722",115,AMD Ryzen 3 Quad Core Processor | 8 GB LPDDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty
Samsung Galaxy Book4 Edge Series Copilot AI-PC Full Metal Chasis Qualcomm Snapdragon X - (16 GB/512 GB...,"₹59,550",4.4,"2,345",207,Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home and Student 2024 | 1 Year Manufacturer Warranty for Laptop and 6 Months for In-Box Accessories
ASUS Expertbook P3 Metal High-performance processor Intel Core i7 13th Gen 13620H - (32 GB/1 TB SSD/Wi...,"₹71,990",4.3,164,23,"Intel Core i7 Processor (13th Gen) | 32 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 35.56 cm (14 Inch) Display | Included Software- Microsoft Office Home 2024(includes Word, Excel, PowerPoint, and OneNote) (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee+TM Premium (1 year Validity) | 1 Year Onsite Warranty"
"DELL 14 Plus Next Gen AI PC Backlit Keyboard, Fingerprint reader Intel Core Ultra 5 226V - (16 GB/512 ...","₹76,990",4.3,262,24,Intel Core Ultra 5 Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Onsite Hardware Service
"ASUS Vivobook 15 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core i3 13th Gen 1315U...","₹37,990",4.3,"2,371",146,"Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty"
Lenovo LOQ 2025 Intel Core i7 13th Gen 13700HX - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA ...,"₹1,15,990",4.4,22,3,Intel Core i7 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 39.62 cm (15.6 Inch) Display | Office Home 2024 + Lenovo AI Now | 1 Year Onsite Warranty
Lenovo IdeaPad Slim 3 Next Gen AI PC WUXGA IPS Copilot + PC Qualcomm Snapdragon X - (16 GB/512 GB SSD/...,"₹50,990",4.3,595,58,Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 38.86 cm (15.3 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty
HP Intel Core i7 13th Gen 13620H - (16 GB/512 GB SSD/Windows 11 Home) 15-fr0046TU Thin and Light Lapto...,"₹68,990",4.3,755,47,Intel Core i7 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty
Lenovo LOQ 2025 AMD Ryzen 7 Octa Core 250 - (24 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeFor...,"₹1,05,990",4.3,36,4,AMD Ryzen 7 Octa Core Processor | 24 GB DDR5 RAM | Windows 11 Home Operating System | 1 TB SSD | 39.62 cm (15.6 Inch) Display | Office Home 2024 + Lenovo AI Now | 1 Year Onsite Warranty
DELL Inspiron 3530 Intel Core i5 13th Gen 1334U - (8 GB/512 GB SSD/Windows 11 Home) Inspiron 3530 Thin...,"₹52,690",4.3,6,1,Intel Core i5 Processor (13th Gen) | 8 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty
"ASUS Vivobook S16 OLED (2025) with Backlit Keyboard, Metal Body*, Qualcomm Snapdragon X - (16 GB/512 G...","₹65,990",4.5,815,59,"Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 40.64 cm (16 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps | 1 Year Onsite Warranty"
MOTOROLA Motobook 60 Full Metal OLED (i5 14th Gen) Intel Core 5 (Series 2) 210H - (16 GB/512 GB SSD/Wi...,"₹49,990",4.4,"2,314",260,Intel Core 5 (Series 2) Processor | 16 GB DDR5 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Office Home 2024 | 1 Year Onsite Warranty
Acer Chromebook Intel Celeron Dual Core N4500 - (8 GB/64 GB EMMC Storage/Chrome OS) CB314-3H-C5QE/ CB3...,"₹15,990",3.8,646,48,Intel Celeron Dual Core Processor | 8 GB LPDDR4X RAM | Chrome Operating System | 35.56 cm (14 Inch) Display | 1 Year Onsite Warranty
ASUS Vivobook S14 (2025)(i5 14th Gen) with Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,"₹63,990",4.6,7,0,"Intel Core 5 Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty"
"ASUS Vivobook S14 (2025) with Office 2024 + M365 Basic*, AI PC, Backlit Keyboard, Qualcomm Snapdragon ...","₹59,990",4.5,815,59,"Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps | 1 Year Onsite Warranty"
"ASUS Vivobook 15, with Backlit Keyboard, Intel Core i3 13th Gen 1315U - (16 GB/512 GB SSD/Windows 11 H...","₹38,990",4.3,"2,371",146,Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 + Microsoft 365 Basic | 1 Year Onsite Warranty
"ASUS Vivobook 14 (2025) with Office 2024 + M365 Basic*, Backlit Keyboard, Qualcomm Snapdragon X - (16 ...","₹52,990",4.4,426,38,"Qualcomm Snapdragon X Processor | 16 GB LPDDR5X RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps | 1 Year Onsite Warranty"
"ASUS Vivobook 15 (2025) (i5 14th Gen) with MSO 2024 + M365 Basic*, Backlit Keyboard, Intel Core 5 120U...","₹51,990",4.3,"1,326",98,"Intel Core 5 Processor | 16 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty"
