Product Name,Price,Rating,Ratings Count,Reviews Count,Features,Price_Clean,Ratings_Count_Clean,Reviews_Count_Clean,Brand,Processor,RAM_GB,Storage_GB
Asus Vivobook Go 15 (2025) With Office 2024 + M365 Basic* Intel Core I3 N305 - (8 Gb/512 Gb Ssd/Window...,"₹39,990",4.3,374,33,"Intel Core i3 Processor | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year | 1 Year Onsite Warranty",39990.0,374,33,Asus,Intel Core i3,8.0,8.0
Hp 14S Intel Celeron Dual Core N4500 - (8 Gb/256 Gb Ssd/Windows 11 Home) 14S- Dq3032Tu Thin And Light ...,"₹30,999",3.8,558,49,Intel Celeron Dual Core Processor | 8 GB DDR4 RAM | 64 bit Windows 11 Operating System | 256 GB SSD | 35.56 cm (14 Inch) Display | 1 Year onsite warranty,30999.0,558,49,Hp,Intel Celeron,8.0,8.0
Hp 250R G9 (2025) Intel Core I3 13Th Gen 1315U - (16 Gb/512 Gb Ssd/Windows 11 Pro) 250R G9 Thin And Li...,"₹42,990",5.0,3,0,"Intel Core i3 Processor (13th Gen) | 16 GB DDR4 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office 2021, Windows 11 Pro | 1 Year Onsite Warranty",42990.0,3,0,Hp,Intel Core i3,16.0,16.0
Dell Pro 15 Backlit (2025) Amd Ryzen 5 Quad Core 7520U - (8 Gb/512 Gb Ssd/Windows 11 Pro) Pro 15 Thin ...,"₹36,850",3.2,5,0,"AMD Ryzen 5 Quad Core Processor | 8 GB LPDDR5 RAM | 64 bit Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office 2021, Windows 11 Pro | 1 Year",36850.0,5,0,Dell,AMD Ryzen,8.0,8.0
Hp Amd Athlon Dual Core - (8 Gb/256 Gb Ssd/Windows 11 Home) 255 Laptop,"₹30,990",4.0,"1,175",72,AMD Athlon Dual Core Processor | 8 GB LPDDR4 RAM | Windows 11 Operating System | 256 GB SSD | 39.62 cm (15.6 Inch) Display | 1 YEAR,30990.0,1175,72,Hp,Other,8.0,8.0
Lenovo Loq Essential Intel Core I5 12Th Gen 12450Hx - (12 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/...,"₹58,990",4.3,243,20,Intel Core i5 Processor (12th Gen) | 12 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Carry-in Warranty,58990.0,243,20,Lenovo,Intel Core i5,12.0,12.0
Lenovo Ideapad 1 Intel Celeron Dual Core N4020 - (4 Gb/256 Gb Ssd/Windows 11 Home) 11Igl05 Thin And Li...,"₹27,290",3.7,726,49,Intel Celeron Dual Core Processor | 4 GB DDR4 RAM | 64 bit Windows 11 Operating System | 256 GB SSD | 29.46 cm (11.6 Inch) Display | Office Home and Student 2021 | 1 Year Onsite�Warranty,27290.0,726,49,Lenovo,Intel Celeron,4.0,4.0
Avita E Series Intel Core I5 12Th Gen 1235U - (8 Gb/512 Gb Ssd/Windows 11 Home) Am14A2Inf56F-Slf Lapto...,"₹34,999",3.3,7,5,Intel Core i5 Processor (12th Gen) | 8 GB DDR4 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.81 cm (14.1 Inch) Display | Pre loaded windows APP | 1 Year Manufacturing Warranty (Battery And Charger Only 6 Month Warranty),34999.0,7,5,Other,Intel Core i5,8.0,8.0
"Asus Vivobook S14 (2025) With Office 2024 + M365 Basic*, Backlit Keyboard, Intel Core I7 13Th Gen 1362...","₹65,990",4.5,148,7,"Intel Core i7 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty",65990.0,148,7,Asus,Intel Core i7,16.0,16.0
Acer Aspire 7 Intel Core I7 13Th Gen 13620H - (16 Gb/512 Gb Ssd/Windows 11 Home/6 Gb Graphics/Nvidia G...,"₹84,990",4.2,113,9,Intel Core i7 Processor (13th Gen) | 16 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Warranty,84990.0,113,9,Acer,Intel Core i7,16.0,16.0
