id,product_name,price,rating,ratings_count,reviews_count,features,brand,processor,ram_gb,storage_gb,Cluster
34,Acer Chromebook Intel Celeron Dual Core N4500 - (8 Gb/128 Gb Emmc Storage/Chrome Os) Cb314-3H-C5Qe/ Cb...,23990.0,3.8,2681,187,Intel Celeron Dual Core Processor | 8 GB LPDDR4X RAM | Chrome Operating System | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,Acer,Intel Celeron,8,8,1
35,Asus Vivobook S14 (2025)(I5 14Th Gen) With Office 2024 + M365 Basic* Backlit Keyboard Intel Core 5 210...,63990.0,4.6,7,0,"Intel Core 5 Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), One-Month Membership of Adobe Creative Cloud All Apps, McAfee 1 year | 1 Year Onsite Warranty",Asus,Other,16,16,1
36,Dell G15 Intel Core I5 13Th Gen 13450Hx - (16 Gb/1 Tb Ssd/Windows 11 Home/6 Gb Graphics/Nvidia Geforce...,85990.0,4.2,452,40,"Intel Core i5 Processor (13th Gen) | 16 GB DDR5 RAM | Windows 11 Operating System | 1 TB SSD | 39.62 cm (15.6 Inch) Display | Alienware Command Center,Dell Support Assist) | 1 Year Onsite Warranty",Dell,Intel Core i5,16,16,1
37,"Asus Vivobook Go 15 (2025) With Office 2024 + M365 Basic*, Backlit Keyboard, Amd Ryzen 5 Quad Core 752...",40990.0,4.3,1067,53,"AMD Ryzen 5 Quad Core Processor | 16 GB LPDDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | Microsoft Office Home 2024 (Lifetime Validity ) + Microsoft 365 Basic*(1-Year Validity), McAfee 1 year | 1 Year Onsite Warranty",Asus,AMD Ryzen,16,16,1
38,Acer Nitro V 16S Intel Core 5 - (16 Gb/512 Gb Ssd/Windows 11 Home/8 Gb Graphics/Nvidia Geforce Rtx Nvi...,94990.0,5.0,4,0,Intel Core 5 Processor | 16 GB DDR5 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 40.64 cm (16 Inch) Display | 1 Year Warranty,Acer,Other,16,16,1
39,Lenovo 100E Chromebook Gen 4 Mediatek Mediatek Kompanio 528 - (4 Gb/64 Gb Emmc Storage/Chrome Os) 82W0...,11999.0,3.9,1183,97,MediaTek MediaTek Kompanio 528 Processor | 4 GB LPDDR4X RAM | Chrome Operating System | 29.46 cm (11.6 Inch) Display | 1 Year Carry-in Warranty,Lenovo,Other,4,4,1
40,Acer Aspire 3 Amd Ryzen 3 Quad Core 7330U - (16 Gb/512 Gb Ssd/Windows 11 Home) As15-42 Thin And Light ...,34990.0,4.1,804,95,AMD Ryzen 3 Quad Core Processor | 16 GB DDR4 RAM | Windows 11 Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 Year Onsite Warranty,Acer,AMD Ryzen,16,16,1
41,Hp Victus Amd Ryzen 7 Hexa Core 7445Hs - (16 Gb/512 Gb Ssd/Windows 11 Home/4 Gb Graphics/Nvidia Geforc...,63990.0,4.4,776,52,AMD Ryzen 7 Hexa Core Processor | 16 GB DDR5 RAM | Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | MS Office Home 2024 + MISC PC Game Pass DA 3M | 1 Year Onsite Warranty,Hp,AMD Ryzen,16,16,1
42,Acer Aspire Lite Intel Core I3 12Th Gen 1215U - (8 Gb/512 Gb Ssd/Windows 11 Home) Al15-52 Thin And Lig...,35520.0,4.1,980,76,Intel Core i3 Processor (12th Gen) | 8 GB DDR4 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 39.62 cm (15.6 Inch) Display | 1 year,Acer,Intel Core i3,8,8,1
43,"Acer Aspire 14 With Backlit Keyboard, Intel Core I5 13Th Gen 13500H - (16 Gb/512 Gb Ssd/Windows 11 Hom...",54990.0,4.3,6165,523,Intel Core i5 Processor (13th Gen) | 16 GB LPDDR5 RAM | 64 bit Windows 11 Home Operating System | 512 GB SSD | 35.56 cm (14 Inch) Display | 1 Year Warranty,Acer,Intel Core i5,16,16,1
